n=15 p=3 q=5
n=35 p=5 q=7
n=391 p=17 q=23
n=589 p=19 q=31
n=2491 p=47 q=53
n=25217 p=151 q=167
n=87053 p=263 q=331
n=303929 p=491 q=619
n=969389 p=659 q=1471
n=4044947 p=1511 q=2677
n=14428441 p=3307 q=4363
n=116434093 p=10559 q=11027
n=526127311 p=21943 q=23977
n=1720826039 p=40063 q=42953
n=1994143007 p=36709 q=54323
n=16924648957 p=88003 q=192319
n=65422032913 p=182503 q=358471
n=241883208533 p=404489 q=597997
n=463466990699 p=566023 q=818813
n=3001924780853 p=1399733 q=2144641
n=14566326543203 p=2697971 q=5398993
n=92563803499019 p=8713763 q=10622713
n=461625188555347 p=19791413 q=23324519
n=1118492253854167 p=22747147 q=49170661
n=2045959241680213 p=42837373 q=47761081
n=7265137342198607 p=83368963 q=87144389
n=42839272400801011 p=150381487 q=284870653
n=273155075481002501 p=339684559 q=804143339
n=1987869030643311083 p=1394353693 q=1425656231
n=2147507651405878519 p=1390896517 q=1543973707
n=18440049577872283717 p=3835556281 q=4807659757
